ID,description,VN(name),VV(version),VT(type),VRC(root cause),VP(position),VAT(attacker type),VAV(attack vector),VR(result)
CVE-2013-2915,"Google Chrome before 30.0.1599.66 preserves pending NavigationEntry objects in certain invalid circumstances, which allows remote attackers to spoof the address bar via a URL with a malformed scheme, as demonstrated by a nonexistent:12121 URL.",Google Chrome,before 30.0.1599.66,,preserves pending NavigationEntry objects in certain invalid circumstances,,remote attackers,a URL with a malformed scheme,spoof the address bar
CVE-2015-1631,"Microsoft Exchange Server 2013 SP1 and Cumulative Update 7 allows remote attackers to spoof meeting organizers via unspecified vectors, aka ""Exchange Forged Meeting Request Spoofing Vulnerability.""",Microsoft Exchange Server,2013 SP1 and Cumulative Update 7,Exchange Forged Meeting Request Spoofing Vulnerability,,,remote attackers,,spoof meeting organizers
CVE-2015-6691,"Use-after-free vulnerability in Adobe Reader and Acrobat 10.x before 10.1.16 and 11.x before 11.0.13, Acrobat and Acrobat Reader DC Classic before 2015.006.30094, and Acrobat and Acrobat Reader DC Continuous before 2015.009.20069 on Windows and OS X allows attackers to execute arbitrary code via unspecified vectors, a different vulnerability than CVE-2015-5586, CVE-2015-6683, CVE-2015-6684, CVE-2015-6687, CVE-2015-6688, CVE-2015-6689, CVE-2015-6690, CVE-2015-7615, CVE-2015-7617, and CVE-2015-7621.",Adobe Reader and Acrobat |n Acrobat and Acrobat Reader DC Classic |n Acrobat and Acrobat Reader DC Continuous,10.x before 10.1.16 and 11.x before 11.0.13 |n before 2015.006.30094 |n before 2015.009.20069 on Windows and OS X,Use-after-free vulnerability,,,,,execute arbitrary code
CVE-2015-9171,"In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Automobile, Snapdragon Mobile, and Snapdragon Wear MDM9206, MDM9650, MSM8909W, SD 210/SD 212/SD 205, SD 410/12, SD 425, SD 430, SD 450, SD 615/16/SD 415, SD 617, SD 625, SD 650/52, SD 808, SD 810, SD 820, SD 820A, SD 835, SD 845, and SD 850, if OEMCrypto_Dash_InstallEncapKeybox() is called with keyBoxLength set to a value higher than TZ_WV_MAX_DATA_LEN (20k), a buffer over-read occurs.","Qualcomm Snapdragon Automobile, Snapdragon Mobile, and Snapdragon Wear MDM9206, MDM9650, MSM8909W, SD 210/SD 212/SD 205, SD 410/12, SD 425, SD 430, SD 450, SD 615/16/SD 415, SD 617, SD 625, SD 650/52, SD 808, SD 810, SD 820, SD 820A, SD 835, SD 845, and SD 850",before 2018-04-05 or earlier,buffer over-read,OEMCrypto_Dash_InstallEncapKeybox() is called with keyBoxLength set to a value higher than TZ_WV_MAX_DATA_LEN (20k),Android before 2018-04-05 or earlier security patch level,,,
CVE-2015-0006,"The Network Location Awareness (NLA) service in Microsoft Windows Server 2003 SP2, Windows Vista SP2, Windows Server 2008 SP2 and R2 SP1, Windows 7 SP1, Windows 8, Windows 8.1, and Windows Server 2012 Gold and R2 does not perform mutual authentication to determine a domain connection, which allows remote attackers to trigger an unintended permissive configuration by spoofing DNS and LDAP responses on a local network, aka ""NLA Security Feature Bypass Vulnerability.""",Microsoft Windows Server |n Windows Vista |n Windows Server |n Windows,2003 SP2 |n SP2 |n 2008 SP2 and R2 SP1 |n 7 SP1 |n 8 |n 8.1 |n 2012 Gold and R2,NLA Security Feature Bypass Vulnerability,does not perform mutual authentication to determine a domain connection,Network Location Awareness (NLA) service,remote attackers,spoofing DNS and LDAP responses on a local network, trigger an unintended permissive configuration
CVE-2015-3615,"Cross-site scripting (XSS) vulnerability in Fortinet FortiManager 5.0.x before 5.0.11, 5.2.x before 5.2.2 allows remote authenticated users to inject arbitrary web script or HTML via vectors involving unspecified parameters and a privilege escalation attack.", Fortinet FortiManager,5.0.x before 5.0.11 |n 5.2.x before 5.2.2,Cross-site scripting (XSS) vulnerability,,,remote authenticated users,vectors involving unspecified parameters and a privilege escalation attack,inject arbitrary web script or HTML
CVE-2015-0736,"Cross-site request forgery (CSRF) vulnerability in Cisco MediaSense 10.5(1) and earlier allows remote attackers to hijack the authentication of arbitrary users, aka Bug ID CSCuu16728.",Cisco MediaSense,10.5(1) and earlier,Cross-site request forgery (CSRF) vulnerability,,,remote attackers,,hijack the authentication of arbitrary users
CVE-2015-6377,"Cisco Virtual Topology System (VTS) 2.0(0) and 2.0(1) allows remote attackers to cause a denial of service (CPU and memory consumption, and TCP port outage) via a flood of crafted TCP packets, aka Bug ID CSCux13379.",Cisco Virtual Topology System (VTS),2.0(0) and 2.0(1),,,,remote attackers,a flood of crafted TCP packets,"cause a denial of service (CPU and memory consumption, and TCP port outage)"
CVE-2015-0158,"Cross-site scripting (XSS) vulnerability in the Coach NG framework in IBM Business Process Manager (BPM) 8.0 through 8.0.1.3, 8.5.0 through 8.5.0.1, and 8.5.5 through 8.5.5.0 allows remote attackers to inject arbitrary web script or HTML via a crafted URL.",the Coach NG framework in IBM Business Process Manager (BPM),8.0 through 8.0.1.3 |n 8.5.0 through 8.5.0.1 |n 8.5.5 through 8.5.5.0,Cross-site scripting (XSS) vulnerability,,,remote attackers,a crafted URL,inject arbitrary web script or HTML
CVE-2015-5479,The ff_h263_decode_mba function in libavcodec/ituh263dec.c in Libav before 11.5 allows remote attackers to cause a denial of service (divide-by-zero error and application crash) via a file with crafted dimensions.,Libav,before 11.5,,,The ff_h263_decode_mba function in libavcodec/ituh263dec.c, remote attackers,a file with crafted dimensions,cause a denial of service (divide-by-zero error and application crash)
CVE-2015-6118,"Microsoft Office 2007 SP3 and Office 2010 SP2 allow remote attackers to execute arbitrary code via a crafted Office document, aka ""Microsoft Office Memory Corruption Vulnerability.""",Microsoft Office,2007 SP3 |n 2010 SP2,Microsoft Office Memory Corruption Vulnerability,,,remote attackers,a crafted Office document,execute arbitrary code
CVE-2016-1803,"CoreCapture in Apple iOS before 9.3.2, OS X before 10.11.5, tvOS before 9.2.1, and watchOS before 2.2.1 allows attackers to execute arbitrary code in a privileged context or cause a denial of service (NULL pointer dereference) via a crafted app.",Apple iOS |n OS X |n tvOS |n watchOS,before 9.3.2 |n before 10.11.5 |n before 2.2.1,,,CoreCapture,,a crafted app, execute arbitrary code in a privileged context or cause a denial of service (NULL pointer dereference)
CVE-2016-1298,"Multiple cross-site scripting (XSS) vulnerabilities in Cisco Unified Contact Center Express 10.0(1), 10.5(1), 10.6(1), and 11.0(1) allow remote attackers to inject arbitrary web script or HTML via vectors related to permalinks, aka Bug ID CSCux92033.",Cisco Unified Contact Center Express,10.0(1) |n 10.5(1) |n 10.6(1) |n 11.0(1),Multiple cross-site scripting (XSS) vulnerabilities,,,remote attackers,vectors related to permalinks,inject arbitrary web script or HTML
CVE-2016-7080,"The graphic acceleration functions in VMware Tools 9.x and 10.x before 10.0.9 on OS X allow local users to gain privileges or cause a denial of service (NULL pointer dereference) via unspecified vectors, a different vulnerability than CVE-2016-7079.",VMware Tools,9.x and 10.x before 10.0.9 on OS X,,,The graphic acceleration functions,local users,,gain privileges or cause a denial of service (NULL pointer dereference)
CVE-2016-7777,"Xen 4.7.x and earlier does not properly honor CR0.TS and CR0.EM, which allows local x86 HVM guest OS users to read or modify FPU, MMX, or XMM register state information belonging to arbitrary tasks on the guest by modifying an instruction while the hypervisor is preparing to emulate it.",Xen,4.7.x and earlier,,does not properly honor CR0.TS and CR0.EM,,local x86 HVM guest OS users,modifying an instruction while the hypervisor is preparing to emulate it,"read or modify FPU, MMX, or XMM register state information belonging to arbitrary tasks on the guest"
CVE-2016-5435,"Memory leak in Huawei IPS Module, NGFW Module, NIP6300, NIP6600, and Secospace USG6300, USG6500, USG6600, USG9500, and AntiDDoS8000 V500R001C00 before V500R001C20SPC100, when in hot standby networking where two devices are not directly connected, allows remote attackers to cause a denial of service (memory consumption and reboot) via a crafted packet.","Huawei IPS Module, NGFW Module, NIP6300, NIP6600, and Secospace USG6300, USG6500, USG6600, USG9500, and AntiDDoS8000 V500R001C00 before V500R001C20SPC100",,Memory leak,in hot standby networking where two devices are not directly connected,,remote attackers,a crafted packet,cause a denial of service (memory consumption and reboot)
CVE-2016-7969,"The wrap_lines_smart function in ass_render.c in libass before 0.13.4 allows remote attackers to cause a denial of service (out-of-bounds read) via unspecified vectors, related to ""0/3 line wrapping equalization.""",libass,before 0.13.4,,,The wrap_lines_smart function in ass_render.c,remote attackers,,cause a denial of service (out-of-bounds read)
CVE-2016-8448,"An elevation of privilege vulnerability in MediaTek components, including the thermal driver and video driver, could enable a local malicious application to execute arbitrary code within the context of the kernel. This issue is rated as High because it first requires compromising a privileged process. Product: Android. Versions: N/A. Android ID: A-31791148. References: MT-ALPS02982181.",Android,,An elevation of privilege vulnerability,,MediaTek components |n the thermal driver and video driver,a local malicious application,,execute arbitrary code within the context of the kernel
CVE-2016-4264,"The Office Open XML (OOXML) feature in Adobe ColdFusion 10 before Update 21 and 11 before Update 10 allows remote attackers to read arbitrary files or send TCP requests to intranet servers via a crafted OOXML spreadsheet containing an external entity declaration in conjunction with an entity reference, related to an XML External Entity (XXE) issue.",Adobe ColdFusion,10 before Update 21 and 11 before Update 10 ,,,The Office Open XML (OOXML) feature,remote attackers,a crafted OOXML spreadsheet containing an external entity declaration in conjunction with an entity reference,read arbitrary files or send TCP requests to intranet servers
CVE-2016-10589,"selenium-binaries downloads Selenium related binaries for your OS. selenium-binaries downloads binary resources over HTTP, which leaves it vulnerable to MITM attacks. It may be possible to cause remote code execution (RCE) by swapping out the requested binary with an attacker controlled binary if the attacker is on the network or positioned in between the user and the remote server.",selenium-binaries downloads Selenium,,MITM attacks,selenium-binaries downloads binary resources over HTTP,,,swapping out the requested binary with an attacker controlled binary if the attacker is on the network or positioned in between the user and the remote server,remote code execution (RCE)
CVE-2016-6778,An elevation of privilege vulnerability in the HTC sound codec driver could enable a local malicious application to execute arbitrary code within the context of the kernel. This issue is rated as High because it first requires compromising a privileged process. Product: Android. Versions: Kernel-3.10. Android ID: A-31384646.,Android,Kernel-3.10,elevation of privilege vulnerability,enable a local malicious application to execute arbitrary code within the context of the kernel,the HTC sound codec driver,,,
CVE-2017-14948,"Certain D-Link products are affected by: Buffer Overflow. This affects DIR-880L 1.08B04 and DIR-895 L/R 1.13b03. The impact is: execute arbitrary code (remote). The component is: htdocs/fileaccess.cgi. The attack vector is: A crafted HTTP request handled by fileacces.cgi could allow an attacker to mount a ROP attack: if the HTTP header field CONTENT_TYPE starts with ''boundary=' followed by more than 256 characters, a buffer overflow would be triggered, potentially causing code execution.",Certain D-Link,DIR-880L 1.08B04 and DIR-895 L/R 1.13b03,Buffer Overflow,,htdocs/fileaccess.cgi,,"A crafted HTTP request handled by fileacces.cgi could allow an attacker to mount a ROP attack: if the HTTP header field CONTENT_TYPE starts with ''boundary=' followed by more than 256 characters, a buffer overflow would be triggered, potentially causing code execution",execute arbitrary code (remote)
CVE-2017-3075,Adobe Flash Player versions 25.0.0.171 and earlier have an exploitable use after free vulnerability when manipulating the ActionsScript 2 XML class. Successful exploitation could lead to arbitrary code execution.,Adobe Flash Player,25.0.0.171 and earlier,use after free vulnerability,manipulating the ActionsScript 2 XML class,,,,arbitrary code execution
CVE-2017-1124,"IBM Maximo Asset Management 7.1, 7.5, and 7.6 could allow a local attacker to obtain sensitive information using HTTP Header Injection. IBM Reference #: 1998053.",IBM Maximo Asset Management,7.1 |n 7.5 |n 7.6,,,,local attacker,HTTP Header Injection,obtain sensitive information
CVE-2017-10945,This vulnerability allows remote attackers to execute arbitrary code on vulnerable installations of Foxit Reader 8.3.0.14878. User interaction is required to exploit this vulnerability in that the target must visit a malicious page or open a malicious file. The specific flaw exists within the app.alert function. The issue results from the lack of validating the existence of an object prior to performing operations on the object. An attacker can leverage this vulnerability to execute code under the context of the current process. Was ZDI-CAN-4855.,Foxit Reader,8.3.0.14878,,the lack of validating the existence of an object prior to performing operations on the object,the app.alert function,remote attackers,the target must visit a malicious page or open a malicious file,execute arbitrary code |n execute code under the context of the current process
CVE-2017-3001,Adobe Flash Player versions 24.0.0.221 and earlier have an exploitable use after free vulnerability related to garbage collection in the ActionScript 2 VM. Successful exploitation could lead to arbitrary code execution.,Adobe Flash Player,24.0.0.221 and earlier,use after free vulnerability,,garbage collection in the ActionScript 2 VM,,,arbitrary code execution
CVE-2017-5959,CSRF token bypass in GeniXCMS before 1.0.2 could result in escalation of privileges. The forgotpassword.php page can be used to acquire a token.,GeniXCMS,before 1.0.2,CSRF token bypass,,forgotpassword.php page,,acquire a token,escalation of privileges
CVE-2017-18505,The twitter-plugin plugin before 2.55 for WordPress has XSS.,twitter-plugin plugin,before 2.55 for WordPress,XSS,,,,,
CVE-2017-14315,"In Apple iOS 7 through 9, due to a BlueBorne flaw in the implementation of LEAP (Low Energy Audio Protocol), a large audio command can be sent to a targeted device and lead to a heap overflow with attacker-controlled data. Since the audio commands sent via LEAP are not properly validated, an attacker can use this overflow to gain full control of the device through the relatively high privileges of the Bluetooth stack in iOS. The attack bypasses Bluetooth access control; however, the default ""Bluetooth On"" value must be present in Settings.",Apple iOS,7 through 9,,,,,,
CVE-2017-1203,IBM Tivoli Endpoint Manager (for Lifecycle/Power/Patch) Platform and Applications is vulnerable to cross-site scripting. This vulnerability allows users to embed arbitrary JavaScript code in the Web UI thus altering the intended functionality potentially leading to credentials disclosure within a trusted session. IBM X-Force ID: 123678.,IBM Tivoli Endpoint Manager (for Lifecycle/Power/Patch) Platform and Applications,,cross-site scripting,,,,embed arbitrary JavaScript code in the Web UI thus altering the intended functionality,leading to credentials disclosure within a trusted session
CVE-2018-20823,"The gyroscope on Xiaomi Mi 5s devices allows attackers to cause a denial of service (resonance and false data) via a 20.4 kHz audio signal, aka a MEMS ultrasound attack.",Xiaomi Mi,5s,MEMS ultrasound attack,,,,a 20.4 kHz audio signal,cause a denial of service (resonance and false data)
CVE-2018-0836,"Microsoft Edge and ChakraCore in Microsoft Windows 10 1703 and 1709 allows remote code execution, due to how the scripting engine handles objects in memory, aka ""Scripting Engine Memory Corruption Vulnerability"". This CVE ID is unique from CVE-2018-0834, CVE-2018-0835, CVE-2018-0837, CVE-2018-0838, CVE-2018-0840, CVE-2018-0856, CVE-2018-0857, CVE-2018-0858, CVE-2018-0859, CVE-2018-0860, CVE-2018-0861, and CVE-2018-0866.",Microsoft Windows,10 1703 and 1709,remote code execution |n Scripting Engine Memory Corruption Vulnerability,how the scripting engine handles objects in memory,Microsoft Edge and ChakraCore,,,
CVE-2018-6123,A use after free in Blink in Google Chrome prior to 67.0.3396.62 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page.,Google Chrome,prior to 67.0.3396.62,use after free,,Blink,remote attacker,a crafted HTML page,potentially exploit heap corruption
CVE-2018-20306,A stored cross-site scripting (XSS) vulnerability in the web administration user interface of Pulse Secure Virtual Traffic Manager may allow a remote authenticated attacker to inject web script or HTML via a crafted website and steal sensitive data and credentials. Affected releases are Pulse Secure Virtual Traffic Manager 9.9 versions prior to 9.9r2 and 10.4r1.,Pulse Secure Virtual Traffic Manager,,stored cross-site scripting (XSS) vulnerability,,the web administration user interface,remote authenticated attacker,a crafted website and steal sensitive data and credentials,inject web script or HTML
CVE-2018-19891,"An invalid memory address dereference was discovered in the huffcode function (libfaac/huff2.c) in Freeware Advanced Audio Coder (FAAC) 1.29.9.2. The vulnerability causes a segmentation fault and application crash, which leads to denial of service in the book 10 case.",Freeware Advanced Audio Coder (FAAC),1.29.9.2,invalid memory address dereference,,the huffcode function (libfaac/huff2.c),,,causes a segmentation fault and application crash |n denial of service in the book 10 case
CVE-2018-17769,Ingenico Telium 2 POS terminals have a buffer overflow via the 0x26 command of the NTPT3 protocol. This is fixed in Telium 2 SDK v9.32.03 patch N.,Ingenico Telium 2 POS terminals,,buffer overflow,,the 0x26 command of the NTPT3 protocol,,,
CVE-2018-4907,"An issue was discovered in Adobe Acrobat Reader 2018.009.20050 and earlier versions, 2017.011.30070 and earlier versions, 2015.006.30394 and earlier versions. This vulnerability occurs as a result of computation that reads data that is past the end of the target buffer; the computation is part of the TIFF processing in the XPS module. A successful attack can lead to sensitive data exposure.",Adobe Acrobat Reader,2018.009.20050 and earlier versions |n 2017.011.30070 and earlier versions |n 2015.006.30394 and earlier versions,,computation that reads data that is past the end of the target buffer; the computation is part of the TIFF processing in the XPS module,,,,sensitive data exposure
CVE-2018-10486,"This vulnerability allows remote attackers to disclose sensitive information on vulnerable installations of Foxit Reader 9.0.0.29935. User interaction is required to exploit this vulnerability in that the target must visit a malicious page or open a malicious file. The specific flaw exists within the parsing of the U3D Image Index. The issue results from the lack of proper validation of user-supplied data, which can result in a read past the end of an allocated object. An attacker can leverage this in conjunction with other vulnerabilities to execute code in the context of the current process. Was ZDI-CAN-5418.",Foxit Reader,9.0.0.29935,,"the lack of proper validation of user-supplied data, which can result in a read past the end of an allocated object",the parsing of the U3D Image Index,remote attackers,the target must visit a malicious page or open a malicious file,disclose sensitive information |n leverage this in conjunction with other vulnerabilities to execute code in the context of the current process
CVE-2018-15376,"A vulnerability in the embedded test subsystem of Cisco IOS Software for Cisco 800 Series Industrial Integrated Services Routers could allow an authenticated, local attacker to write arbitrary values to arbitrary locations in the memory space of an affected device. The vulnerability is due to the presence of certain test commands that were intended to be available only in internal development builds of the affected software. An attacker could exploit this vulnerability by using these commands on an affected device. A successful exploit could allow the attacker to write arbitrary values to arbitrary locations in the memory space of the affected device.",Cisco 800 Series Industrial Integrated Services Routers,,,the presence of certain test commands that were intended to be available only in internal development builds of the affected software,the embedded test subsystem of Cisco IOS Software,"authenticated, local attacker",using these commands on an affected device,write arbitrary values to arbitrary locations in the memory space of an affected device
CVE-2018-2961,"Vulnerability in the Primavera P6 Enterprise Project Portfolio Management component of Oracle Construction and Engineering Suite (subcomponent: Web Access). Supported versions that are affected are 8.4, 15.x, 16.x and 17.x. Easily exploitable vulnerability allows unauthenticated attacker with network access via HTTP to compromise Primavera P6 Enterprise Project Portfolio Management. Successful attacks require human interaction from a person other than the attacker and while the vulnerability is in Primavera P6 Enterprise Project Portfolio Management, attacks may significantly impact additional products. Successful attacks of this vulnerability can result in unauthorized update, insert or delete access to some of Primavera P6 Enterprise Project Portfolio Management accessible data as well as unauthorized read access to a subset of Primavera P6 Enterprise Project Portfolio Management accessible data. CVSS 3.0 Base Score 6.1 (Confidentiality and Integrity impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N).",Primavera P6 Enterprise Project Portfolio Management component of Oracle Construction and Engineering Suite,8.4 |n 15.x |n 16.x and 17.x,,,Web Access,unauthenticated attacker with network access via HTTP,human interaction from a person other than the attacker and while the vulnerability is in Primavera P6 Enterprise Project Portfolio Management,"compromise Primavera P6 Enterprise Project Portfolio Management |n unauthorized update, insert or delete access to some of Primavera P6 Enterprise Project Portfolio Management accessible data as well as unauthorized read access to a subset of Primavera P6 Enterprise Project Portfolio Management accessible data"
CVE-2019-8027,"Adobe Acrobat and Reader versions 2019.012.20035 and earlier, 2019.012.20035 and earlier, 2017.011.30142 and earlier, 2017.011.30143 and earlier, 2015.006.30497 and earlier, and 2015.006.30498 and earlier have an out-of-bounds write vulnerability. Successful exploitation could lead to arbitrary code execution .",Adobe Acrobat and Reader,2019.012.20035 and earlier |n 2019.012.20035 and earlier |n 2017.011.30142 and earlier |n 2017.011.30143 and earlier |n 2015.006.30497 and earlier |n 2015.006.30498 and earlier,out-of-bounds write vulnerability,,,,,arbitrary code execution
CVE-2019-9231,"An issue was discovered on AudioCodes Mediant 500L-MSBR, 500-MBSR, M800B-MSBR and 800C-MSBR devices with firmware versions before 7.20A.202.307. A Cross-Site Request Forgery (CSRF) vulnerability in the management web interface allows remote attackers to execute malicious and unauthorized actions, because CSRFProtection=1 is not a default and is not documented.","AudioCodes Mediant 500L-MSBR, 500-MBSR, M800B-MSBR and 800C-MSBR devices",before 7.20A.202.307,Cross-Site Request Forgery (CSRF) vulnerability,,the management web interface,remote attackers,,execute malicious and unauthorized actions
CVE-2019-10552,"Multiple Buffer Over-read issue can happen due to improper length checks while decoding Service Reject/RAU Reject/PTMSI Realloc cmd in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon IoT, Snapdragon Mobile, Snapdragon Voice & Music, Snapdragon Wearables, Snapdragon Wired Infrastructure and Networking in APQ8009, APQ8017, APQ8053, APQ8096, APQ8096AU, APQ8098, MDM9150, MDM9205, MDM9206, MDM9607, MDM9615, MDM9625, MDM9635M, MDM9640, MDM9645, MDM9650, MDM9655, MSM8905, MSM8909, MSM8909W, MSM8917, MSM8920, MSM8937, MSM8939, MSM8940, MSM8953, MSM8996AU, MSM8998, Nicobar, QCM2150, QCS605, QM215, Rennell, SC8180X, SDA660, SDA845, SDM429, SDM429W, SDM439, SDM450, SDM630, SDM632, SDM636, SDM660, SDM670, SDM710, SDM845, SDM850, SDX20, SDX24, SDX55, SM6150, SM7150, SM8150, SXR1130",APQ8009 |n APQ8017 |n APQ8053 |n APQ8096 |n APQ8096AU |n APQ8098 |n MDM9150 |n MDM9205 |n MDM9206 |n MDM9607 |n MDM9615 |n MDM9625 |n MDM9635M |n MDM9640 |n MDM9645 |n MDM9650 |n MDM9655 |n MSM8905 |n MSM8909 |n MSM8909W |n MSM8917 |n MSM8920 |n MSM8937 |n MSM8939 |n MSM8940 |n MSM8953 |n MSM8996AU |n MSM8998 |n Nicobar |n QCM2150 |n QCS605 |n QM215 |n Rennell |n SC8180X |n SDA660 |n SDA845 |n SDM429 |n SDM429W |n SDM439 |n SDM450 |n SDM630 |n SDM632 |n SDM636 |n SDM660 |n SDM670 |n SDM710 |n SDM845 |n SDM850 |n SDX20 |n SDX24 |n SDX55 |n SM6150 |n SM7150 |n SM8150 |n SXR1130,,Multiple Buffer Over-read,improper length checks while decoding Service Reject/RAU Reject/PTMSI Realloc cmd,Snapdragon Auto |n Snapdragon Compute |n Snapdragon Connectivity |n Snapdragon Consumer IOT |n Snapdragon Industrial IOT |n Snapdragon IoT |n Snapdragon Mobile |n Snapdragon Voice & Music |n Snapdragon Wearables |n Snapdragon Wired Infrastructure and Networking ,,,
CVE-2019-20727,"Certain NETGEAR devices are affected by command injection by an authenticated user. This affects D6100 before 1.0.0.63, R7800 before 1.0.2.52, R8900 before 1.0.4.2, R9000 before 1.0.4.2, WNDR3700v4 before 1.0.2.102, WNDR4300v1 before 1.0.2.104, WNDR4300v2 before 1.0.0.58, WNDR4500v3 before 1.0.0.58, WNR2000v5 before 1.0.0.68, and XR500 before 2.3.2.32.",Certain NETGEAR devices,D6100 before 1.0.0.63 |n R7800 before 1.0.2.52 |n R8900 before 1.0.4.2 |n R9000 before 1.0.4.2 |n WNDR3700v4 before 1.0.2.102 |n WNDR4300v1 before 1.0.2.104 |n WNDR4300v2 before 1.0.0.58 |n WNDR4500v3 before 1.0.0.58 |n WNR2000v5 before 1.0.0.68 |n XR500 before 2.3.2.32,command injection,,,an authenticated user,,
CVE-2019-0186,"The input fields of the Apache Pluto ""Chat Room"" demo portlet 3.0.0 and 3.0.1 are vulnerable to Cross-Site Scripting (XSS) attacks. Mitigation: * Uninstall the ChatRoomDemo war file - or - * migrate to version 3.1.0 of the chat-room-demo war file","the Apache Pluto ""Chat Room"" demo portlet",3.0.0 and 3.0.1,Cross-Site Scripting (XSS),,The input fields,,,
CVE-2019-5093,"An exploitable code execution vulnerability exists in the DICOM network response functionality of LEADTOOLS libltdic.so version 20.0.2019.3.15. A specially crafted packet can cause an integer overflow, resulting in heap corruption. An attacker can send a packet to trigger this vulnerability.",LEADTOOLS libltdic.so,20.0.2019.3.15,exploitable code execution vulnerability,,the DICOM network response functionality,,specially crafted packet,an integer overflow |n heap corruption
CVE-2019-13464,"An issue was discovered in OWASP ModSecurity Core Rule Set (CRS) 3.0.2. Use of X.Filename instead of X_Filename can bypass some PHP Script Uploads rules, because PHP automatically transforms dots into underscores in certain contexts where dots are invalid.",OWASP ModSecurity Core Rule Set (CRS),3.0.2,,"Use of X.Filename instead of X_Filename can bypass some PHP Script Uploads rules, because PHP automatically transforms dots into underscores in certain contexts where dots are invalid",,,,
CVE-2019-13322,"This vulnerability allows remote attackers to execute arbitrary code on vulnerable installations of Xiaomi Browser Prior to 10.4.0. User interaction is required to exploit this vulnerability in that the target must visit a malicious page or open a malicious file. The specific flaw exists within the handling of the miui.share application. The issue results from the lack of proper validation of user-supplied data, which can result in an arbitrary application download. An attacker can leverage this vulnerability to execute code in the context of the user. Was ZDI-CAN-7483.",Xiaomi Browser,Prior to 10.4.0,,the lack of proper validation of user-supplied data,the handling of the miui.share application,remote attackers,the target must visit a malicious page or open a malicious file,execute arbitrary code |n execute code in the context of the user
CVE-2019-9154,Improper Verification of a Cryptographic Signature in OpenPGP.js <=4.1.2 allows an attacker to pass off unsigned data as signed.,OpenPGP.js,<=4.1.2,,Improper Verification of a Cryptographic Signature,,,,pass off unsigned data as signed
CVE-2019-1353,"An issue was found in Git before v2.24.1, v2.23.1, v2.22.2, v2.21.1, v2.20.2, v2.19.3, v2.18.2, v2.17.3, v2.16.6, v2.15.4, and v2.14.6. When running Git in the Windows Subsystem for Linux (also known as ""WSL"") while accessing a working directory on a regular Windows drive, none of the NTFS protections were active.",Git,before v2.24.1 |n v2.23.1 |n v2.22.2 |n v2.21.1 |n v2.20.2 |n v2.19.3 |n v2.18.2 |n v2.17.3 |n v2.16.6 |n v2.15.4 |n v2.14.6,,"running Git in the Windows Subsystem for Linux (also known as ""WSL"") while accessing a working directory on a regular Windows drive",,,,none of the NTFS protections were active
CVE-2020-9844,"A double free issue was addressed with improved memory management. This issue is fixed in iOS 13.5 and iPadOS 13.5, macOS Catalina 10.15.5. A remote attacker may be able to cause unexpected system termination or corrupt kernel memory.",iOS |n iPadOS |n macOS Catalina,13.5 |n 13.5 |n 10.15.5,double free,improved memory management,,remote attacker,,cause unexpected system termination or corrupt kernel memory
CVE-2020-12149,"The configuration backup/restore function in Silver Peak Unity ECOSTM (ECOS) appliance software was found to directly incorporate the user-controlled config filename in a subsequent shell command, allowing an attacker to manipulate the resulting command by injecting valid OS command input. This vulnerability can be exploited by an attacker with authenticated access to the Orchestrator UI or EdgeConnect UI. This affects all ECOS versions prior to: 8.1.9.15, 8.3.0.8, 8.3.1.2, 8.3.2.0, 9.0.2.0, and 9.1.0.0.",Silver Peak Unity ECOSTM (ECOS) appliance software,,,directly incorporate the user-controlled config filename in a subsequent shell command,The configuration backup/restore function,an attacker with authenticated access to the Orchestrator UI or EdgeConnect UI,injecting valid OS command input,manipulate the resulting command
CVE-2020-25135,"An issue was discovered in Observium Professional, Enterprise & Community 20.8.10631. It is vulnerable to Cross-Site Scripting (XSS) due to the fact that it is possible to inject and store malicious JavaScript code within it. This can occur via the graph_title parameter to the graphs/ URI.","Observium Professional, Enterprise & Community",20.8.10631,Cross-Site Scripting (XSS),the fact that it is possible to inject and store malicious JavaScript code within it,,,the graph_title parameter to the graphs/ URI,
CVE-2020-14765,"Vulnerability in the MySQL Server product of Oracle MySQL (component: Server: FTS). Supported versions that are affected are 5.6.49 and prior, 5.7.31 and prior and 8.0.21 and prior. Easily exploitable vulnerability allows low privileged attacker with network access via multiple protocols to compromise MySQL Server. Successful attacks of this vulnerability can result in unauthorized ability to cause a hang or frequently repeatable crash (complete DOS) of MySQL Server. CVSS 3.1 Base Score 6.5 (Availability impacts). CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H).",the MySQL Server product of Oracle MySQL,5.6.49 and prior |n 5.7.31 and prior and 8.0.21 and prior,,,Server: FTS,low privileged attacker with network access via multiple protocols,,compromise MySQL Server |n unauthorized ability to cause a hang or frequently repeatable crash (complete DOS) of MySQL Server
